"id","external_id","property_id","unit_id","asset_id","workflow_item_id","category","description","priority","status","created_date","first_response_date","completed_date","sla_deadline_hours","sla_status","sla_response_delay_hours","is_system_generated","raw_data","import_batch_id","imported_at","updated_at","assigned_to","notes","region_name","property_name_raw","unit_number_raw","turn_id","scheduled_date","estimated_hours","actual_hours","stage","stage_status","days_in_stage","is_blocked","delay_reason","vendor","bottleneck_flag","bottleneck_type","aggregation_scope"
"26","WO-001","5","535",,"511","Turn","Unit 101 stalled awaiting flooring completion","high","in_progress","""2026-03-25T00:00:00.000Z""",,,"24","missed","290.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-001"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 101 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""101"",""actual_hours"":""4"",""created_date"":""2026-03-25"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""9"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-001"",""completed_date"":"""",""scheduled_date"":""2026-03-27"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.715Z""","""2026-04-07T02:14:06.715Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","101","TURN-001","""2026-03-27T00:00:00.000Z""","8","4","Flooring","in_progress","9","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"27","WO-002","5",,,"512","Turn","Unit 102 stalled awaiting flooring completion","high","in_progress","""2026-03-24T00:00:00.000Z""",,,"24","missed","314.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-002"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Team A"",""description"":""Unit 102 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""102"",""actual_hours"":""3"",""created_date"":""2026-03-24"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""8"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-002"",""completed_date"":"""",""scheduled_date"":""2026-03-26"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.733Z""","""2026-04-07T02:14:06.733Z""","Team A","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","102","TURN-002","""2026-03-26T00:00:00.000Z""","8","3","Flooring","in_progress","8","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"28","WO-003","5","463",,"513","Turn","Unit 103 stalled awaiting flooring completion","critical","in_progress","""2026-03-23T00:00:00.000Z""",,,"24","missed","338.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Rochester Surface Pros"",""turn_id"":""TURN-003"",""category"":""Turn"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Team A"",""description"":""Unit 103 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""103"",""actual_hours"":""3"",""created_date"":""2026-03-23"",""delay_reason"":""Material backorder"",""stage_status"":""in_progress"",""days_in_stage"":""6"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-003"",""completed_date"":"""",""scheduled_date"":""2026-03-25"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.745Z""","""2026-04-07T02:14:06.745Z""","Team A","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","103","TURN-003","""2026-03-25T00:00:00.000Z""","8","3","Flooring","in_progress","6","true","Material backorder","Rochester Surface Pros","true","stage_congestion","unit,property,regional"
"29","WO-004","5",,,"514","Turn","Unit 104 stalled awaiting flooring completion","high","in_progress","""2026-03-22T00:00:00.000Z""",,,"24","missed","362.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Rochester Surface Pros"",""turn_id"":""TURN-004"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Team A"",""description"":""Unit 104 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""104"",""actual_hours"":""4"",""created_date"":""2026-03-22"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""6"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-004"",""completed_date"":"""",""scheduled_date"":""2026-03-24"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.763Z""","""2026-04-07T02:14:06.763Z""","Team A","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","104","TURN-004","""2026-03-24T00:00:00.000Z""","8","4","Flooring","in_progress","6","true","Subfloor repair discovered","Rochester Surface Pros","true","stage_congestion","unit,property,regional"
"30","WO-005","5",,,"515","Turn","Unit 105 stalled awaiting flooring completion","high","in_progress","""2026-03-21T00:00:00.000Z""",,,"24","missed","386.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-005"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Team A"",""description"":""Unit 105 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""105"",""actual_hours"":""3"",""created_date"":""2026-03-21"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""7"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-005"",""completed_date"":"""",""scheduled_date"":""2026-03-23"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.777Z""","""2026-04-07T02:14:06.777Z""","Team A","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","105","TURN-005","""2026-03-23T00:00:00.000Z""","8","3","Flooring","in_progress","7","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"31","WO-006","5",,,"516","Turn","Unit 106 stalled awaiting flooring completion","critical","in_progress","""2026-03-20T00:00:00.000Z""",,,"24","missed","410.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-006"",""category"":""Turn"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 106 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""106"",""actual_hours"":""3"",""created_date"":""2026-03-20"",""delay_reason"":""Vendor scheduling delay"",""stage_status"":""in_progress"",""days_in_stage"":""7"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-006"",""completed_date"":"""",""scheduled_date"":""2026-03-22"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.790Z""","""2026-04-07T02:14:06.790Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","106","TURN-006","""2026-03-22T00:00:00.000Z""","8","3","Flooring","in_progress","7","true","Vendor scheduling delay","Precision Floors","true","stage_congestion","unit,property,regional"
"32","WO-007","5","339",,"517","Turn","Unit 107 stalled awaiting flooring completion","high","in_progress","""2026-03-19T00:00:00.000Z""",,,"24","missed","434.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-007"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 107 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""107"",""actual_hours"":""6"",""created_date"":""2026-03-19"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""7"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-007"",""completed_date"":"""",""scheduled_date"":""2026-03-21"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.805Z""","""2026-04-07T02:14:06.805Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","107","TURN-007","""2026-03-21T00:00:00.000Z""","8","6","Flooring","in_progress","7","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"33","WO-008","5",,,"518","Turn","Unit 108 stalled awaiting flooring completion","high","in_progress","""2026-03-18T00:00:00.000Z""",,,"24","missed","458.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-008"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 108 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""108"",""actual_hours"":""4"",""created_date"":""2026-03-18"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""6"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-008"",""completed_date"":"""",""scheduled_date"":""2026-03-20"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.819Z""","""2026-04-07T02:14:06.819Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","108","TURN-008","""2026-03-20T00:00:00.000Z""","8","4","Flooring","in_progress","6","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"34","WO-009","5",,,"519","Turn","Unit 109 stalled awaiting flooring completion","critical","in_progress","""2026-03-17T00:00:00.000Z""",,,"24","missed","482.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-009"",""category"":""Turn"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 109 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""109"",""actual_hours"":""3"",""created_date"":""2026-03-17"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""10"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-009"",""completed_date"":"""",""scheduled_date"":""2026-03-19"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.833Z""","""2026-04-07T02:14:06.833Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","109","TURN-009","""2026-03-19T00:00:00.000Z""","8","3","Flooring","in_progress","10","true","Subfloor repair discovered","Precision Floors","true","stage_congestion","unit,property,regional"
"35","WO-010","5","796",,"520","Turn","Unit 110 stalled awaiting flooring completion","high","in_progress","""2026-03-16T00:00:00.000Z""",,,"24","missed","506.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Rochester Surface Pros"",""turn_id"":""TURN-010"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Team A"",""description"":""Unit 110 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""110"",""actual_hours"":""4"",""created_date"":""2026-03-16"",""delay_reason"":""Subfloor repair discovered"",""stage_status"":""in_progress"",""days_in_stage"":""9"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-010"",""completed_date"":"""",""scheduled_date"":""2026-03-18"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.846Z""","""2026-04-07T02:14:06.846Z""","Team A","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","110","TURN-010","""2026-03-18T00:00:00.000Z""","8","4","Flooring","in_progress","9","true","Subfloor repair discovered","Rochester Surface Pros","true","stage_congestion","unit,property,regional"
"36","WO-011","5",,,"521","Turn","Unit 111 stalled awaiting flooring completion","high","in_progress","""2026-03-15T00:00:00.000Z""",,,"24","missed","530.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Rochester Surface Pros"",""turn_id"":""TURN-011"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 111 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""111"",""actual_hours"":""6"",""created_date"":""2026-03-15"",""delay_reason"":""Material backorder"",""stage_status"":""in_progress"",""days_in_stage"":""10"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-011"",""completed_date"":"""",""scheduled_date"":""2026-03-17"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.859Z""","""2026-04-07T02:14:06.859Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","111","TURN-011","""2026-03-17T00:00:00.000Z""","8","6","Flooring","in_progress","10","true","Material backorder","Rochester Surface Pros","true","stage_congestion","unit,property,regional"
"37","WO-012","5","667",,"522","Turn","Unit 112 stalled awaiting flooring completion","critical","in_progress","""2026-03-14T00:00:00.000Z""",,,"24","missed","554.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-012"",""category"":""Turn"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 112 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""112"",""actual_hours"":""4"",""created_date"":""2026-03-14"",""delay_reason"":""Vendor scheduling delay"",""stage_status"":""in_progress"",""days_in_stage"":""12"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-012"",""completed_date"":"""",""scheduled_date"":""2026-03-16"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.873Z""","""2026-04-07T02:14:06.873Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","112","TURN-012","""2026-03-16T00:00:00.000Z""","8","4","Flooring","in_progress","12","true","Vendor scheduling delay","Precision Floors","true","stage_congestion","unit,property,regional"
"38","WO-013","5","477",,"523","Turn","Routine turn progression for unit 113","high","completed","""2026-03-28T00:00:00.000Z""",,"""2026-04-04T00:00:00.000Z""","24","missed","218.24","false","{""notes"":""Baseline comparison row"",""stage"":""Trash Out"",""status"":""Completed"",""vendor"":""Internal Turn Crew"",""turn_id"":""TURN-013"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Alex"",""description"":""Routine turn progression for unit 113"",""region_name"":""North Region"",""unit_number"":""113"",""actual_hours"":""1"",""created_date"":""2026-03-28"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""0"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-013"",""completed_date"":""2026-04-04"",""scheduled_date"":""2026-04-03"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.887Z""","""2026-04-07T02:14:06.887Z""","Tech Alex","Baseline comparison row","North Region","Stonewood Village","113","TURN-013","""2026-04-03T00:00:00.000Z""","6","1","Trash Out","completed","0","false",,"Internal Turn Crew","false","none","unit,property,regional"
"39","WO-014","5",,,"524","Appliance","Routine turn progression for unit 114","high","in_progress","""2026-04-03T00:00:00.000Z""",,,"24","missed","74.24","false","{""notes"":""Baseline comparison row"",""stage"":""Maintenance"",""status"":""In Progress"",""vendor"":""Internal Maintenance"",""turn_id"":""TURN-014"",""category"":""Appliance"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Mike"",""description"":""Routine turn progression for unit 114"",""region_name"":""North Region"",""unit_number"":""114"",""actual_hours"":""4"",""created_date"":""2026-04-03"",""delay_reason"":"""",""stage_status"":""in_progress"",""days_in_stage"":""2"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-014"",""completed_date"":"""",""scheduled_date"":""2026-03-30"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.903Z""","""2026-04-07T02:14:06.903Z""","Tech Mike","Baseline comparison row","North Region","Stonewood Village","114","TURN-014","""2026-03-30T00:00:00.000Z""","6","4","Maintenance","in_progress","2","false",,"Internal Maintenance","false","none","unit,property,regional"
"40","WO-015","5","462",,"525","Turn","Routine turn progression for unit 115","high","completed","""2026-04-03T00:00:00.000Z""",,"""2026-04-03T00:00:00.000Z""","24","missed","74.24","false","{""notes"":""Baseline comparison row"",""stage"":""Paint"",""status"":""Completed"",""vendor"":""Fresh Coat Contractors"",""turn_id"":""TURN-015"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Mike"",""description"":""Routine turn progression for unit 115"",""region_name"":""North Region"",""unit_number"":""115"",""actual_hours"":""6"",""created_date"":""2026-04-03"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""0"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-015"",""completed_date"":""2026-04-03"",""scheduled_date"":""2026-04-03"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""5"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.917Z""","""2026-04-07T02:14:06.917Z""","Tech Mike","Baseline comparison row","North Region","Stonewood Village","115","TURN-015","""2026-04-03T00:00:00.000Z""","5","6","Paint","completed","0","false",,"Fresh Coat Contractors","false","none","unit,property,regional"
"41","WO-016","5",,,"526","Turn","Routine turn progression for unit 116","high","completed","""2026-03-29T00:00:00.000Z""",,"""2026-04-02T00:00:00.000Z""","24","missed","194.24","false","{""notes"":""Baseline comparison row"",""stage"":""Paint"",""status"":""Completed"",""vendor"":""Fresh Coat Contractors"",""turn_id"":""TURN-016"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Alex"",""description"":""Routine turn progression for unit 116"",""region_name"":""North Region"",""unit_number"":""116"",""actual_hours"":""1"",""created_date"":""2026-03-29"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""3"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-016"",""completed_date"":""2026-04-02"",""scheduled_date"":""2026-03-31"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""4"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.933Z""","""2026-04-07T02:14:06.933Z""","Tech Alex","Baseline comparison row","North Region","Stonewood Village","116","TURN-016","""2026-03-31T00:00:00.000Z""","4","1","Paint","completed","3","false",,"Fresh Coat Contractors","false","none","unit,property,regional"
